DB Accession Number,Molecule Names,ATC Codes,Type,Groups,DB SMILES,Neutralized SMILES
CHEMBL254193,Endralazine,C02DB,Small Molecule,NotAvailable,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2
CHEMBL3989849,Fentonium,A03BB,Small Molecule,NotAvailable,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
CHEMBL3707234,Nicofetamide,A03AC,Small Molecule,NotAvailable,O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1,O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1
CHEMBL50588,Emetine,P01AX,Small Molecule,NotAvailable,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
CHEMBL1370446,Metizoline,R01AA,Small Molecule,NotAvailable,Cc1sc2ccccc2c1CC1=NCCN1,Cc1sc2ccccc2c1CC1=NCCN1
CHEMBL314437,Meptazinol,N02AX,Small Molecule,NotAvailable,CCC1(c2cccc(O)c2)CCCCN(C)C1,CCC1(c2cccc(O)c2)CCCCN(C)C1
CHEMBL3707370,Piperidione,R05DB,Small Molecule,NotAvailable,CCC1(CC)C(=O)CCNC1=O,CCC1(CC)C(=O)CCNC1=O
CHEMBL3305985,Alcuronium,M03AA,Small Molecule,NotAvailable,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69
CHEMBL2110948,Poldine,A03AB,Small Molecule,NotAvailable,C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1
CHEMBL19490,Zomepirac,M01AB,Small Molecule,NotAvailable,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1
CHEMBL466246,Laninamivir,J05AH,Small Molecule,NotAvailable,CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO
CHEMBL3039502,Duvelisib,L01EM,Small Molecule,NotAvailable,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
CHEMBL4650320,Molnupiravir,J05AB,Small Molecule,NotAvailable,CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N\O)[nH]c2=O)[C@H](O)[C@@H]1O,CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N\O)[nH]c2=O)[C@H](O)[C@@H]1O
CHEMBL4761468,Aumolertinib,L01EB,Small Molecule,NotAvailable,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4558324,Lazertinib,L01EB,Small Molecule,NotAvailable,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1
CHEMBL1527608,Doxofylline,R03DA,Small Molecule,NotAvailable,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
CHEMBL1214185,Roxithromycin,J01FA,Small Molecule,NotAvailable,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL33864,Thioctic acid,A16AX,Small Molecule,NotAvailable,O=C(O)CCCCC1CCSS1,O=C(O)CCCCC1CCSS1
CHEMBL2104523; JUAN856,Cinitapride; Cinitapride,A03FA,Small Molecule,NotAvailable,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1
CHEMBL556262,Faropenem,J01DI,Small Molecule,NotAvailable,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12
CHEMBL476960,Voglibose,A10BF,Small Molecule,NotAvailable,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
CHEMBL539697,Dabigatran etexilate,B01AE,Small Molecule,NotAvailable,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
CHEMBL317094,Imidapril,C09AA,Small Molecule,NotAvailable,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O
CHEMBL2074972,Benidipine,C08CA,Small Molecule,NotAvailable,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
CHEMBL32479; JUAN129,Brotizolam; Brotizolam,N05CD,Small Molecule,NotAvailable,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
CHEMBL1651906,Streptozocin,L01AD,Small Molecule,NotAvailable,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL1288810,Levodropropizine,R05DB,Small Molecule,NotAvailable,OC[C@@H](O)CN1CCN(c2ccccc2)CC1,OC[C@@H](O)CN1CCN(c2ccccc2)CC1
CHEMBL2107457,Itopride,A03FA,Small Molecule,NotAvailable,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC
CHEMBL21333,Pranlukast,R03DC,Small Molecule,NotAvailable,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1
CHEMBL24828,Vandetanib,L01EX,Small Molecule,NotAvailable,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
CHEMBL2218896; JUAN866,Nabilone; Nabilone,A04AD,Small Molecule,NotAvailable,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21
CHEMBL71752,Vinpocetine,N06BX,Small Molecule,NotAvailable,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32
CHEMBL1076211,Tolperisone,M02AX; M03BX,Small Molecule,NotAvailable,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1
CHEMBL902,Famotidine,A02BA,Small Molecule,NotAvailable,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
CHEMBL567597,Artemisinin,P01BE,Small Molecule,NotAvailable,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4
CHEMBL110094; JUAN185,Melitracen; Melitracen,N06AA; N06CA,Small Molecule,NotAvailable,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21
CHEMBL388590,Benzbromarone,M04AB,Small Molecule,NotAvailable,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
CHEMBL2104688,Tiropramide,A03AC,Small Molecule,NotAvailable,CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c1ccccc1,CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c1ccccc1
CHEMBL1360,Atracurium,M03AC,Small Molecule,NotAvailable,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC
CHEMBL1328898,Melevodopa,N04BA,Small Molecule,NotAvailable,COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1
CHEMBL9509,Silymarin,A05BA,Small Molecule,NotAvailable,COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O,COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O
CHEMBL47072,Ketobemidone,N02AB,Small Molecule,NotAvailable,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1
CHEMBL160519,Procaterol,R03AC; R03CC,Small Molecule,NotAvailable,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12
CHEMBL12948,Semustine,L01AD,Small Molecule,NotAvailable,CC1CCC(NC(=O)N(CCCl)N=O)CC1,CC1CCC(NC(=O)N(CCCl)N=O)CC1
CHEMBL1200865,Loteprednol,S01BA,Small Molecule,NotAvailable,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL685,Mebendazole,P02CA,Small Molecule,NotAvailable,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
CHEMBL5314404,Ajmaline,C01BA,Small Molecule,NotAvailable,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O
CHEMBL1222250,Glucose,B05CX; C05BB,Small Molecule,NotAvailable,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL1906890,Hydroquinidine,C01BA,Small Molecule,NotAvailable,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
CHEMBL506871,Veliparib,L01XK,Small Molecule,NotAvailable,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
CHEMBL4297109,Oxitropium bromide,R03BB,Small Molecule,NotAvailable,CC[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],CC[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
CHEMBL2104708,Meldonium,C01EB,Small Molecule,NotAvailable,C[N+](C)(C)NCCC(=O)[O-],C[N+](C)(C)NCCC(=O)[O-]
CHEMBL1577,Methyclothiazide,C03AA,Small Molecule,NotAvailable,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
CHEMBL3707245,Omidenepag,S01EX,Small Molecule,NotAvailable,O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1
CHEMBL1454946,Flubendazole,P02CA,Small Molecule,NotAvailable,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1
CHEMBL2106071,Clomocycline,J01AA,Small Molecule,NotAvailable,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
CHEMBL358040,Norfenefrine,C01CA,Small Molecule,NotAvailable,NCC(O)c1cccc(O)c1,NCC(O)c1cccc(O)c1
CHEMBL28318; JUAN20,Propyphenazone; Propyphenazone,N02BB,Small Molecule,NotAvailable,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
CHEMBL313302,Triaziquone,L01AC,Small Molecule,NotAvailable,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
CHEMBL1289779,Etizolam,N05BA,Small Molecule,NotAvailable,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
CHEMBL307739,Ibopamine,C01CA; S01FB,Small Molecule,NotAvailable,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1
CHEMBL1229908,Etamivan,R07AB,Small Molecule,NotAvailable,CCN(CC)C(=O)c1ccc(O)c(OC)c1,CCN(CC)C(=O)c1ccc(O)c(OC)c1
CHEMBL507419,Metahexamide,A10BB,Small Molecule,NotAvailable,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N
CHEMBL63323,Niflumic acid,M01AX; M02AA,Small Molecule,NotAvailable,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
CHEMBL416755,Oxolinic acid,J01MB,Small Molecule,NotAvailable,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
CHEMBL92401,Iproniazide,N06AF,Small Molecule,NotAvailable,CC(C)NNC(=O)c1ccncc1,CC(C)NNC(=O)c1ccncc1
CHEMBL1565476,Azapropazone,M01AX,Small Molecule,NotAvailable,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
CHEMBL36994,Aniracetam,N06BX,Small Molecule,NotAvailable,COc1ccc(C(=O)N2CCCC2=O)cc1,COc1ccc(C(=O)N2CCCC2=O)cc1
CHEMBL156791,Cloranolol,C07AA,Small Molecule,NotAvailable,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl
CHEMBL448570,Carbutamide,A10BB,Small Molecule,NotAvailable,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL268164,Cyclobarbital,N05CA,Small Molecule,NotAvailable,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
CHEMBL468837,Heptabarbital,N05CA,Small Molecule,NotAvailable,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
CHEMBL2107430,Flutrimazole,D01AC; G01AF,Small Molecule,NotAvailable,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
CHEMBL2103762,Ambazone,R02AA,Small Molecule,NotAvailable,N=C(N)NN=C1C=CC(=NNC(N)=S)C=C1,N=C(N)NN=C1C=CC(=NNC(N)=S)C=C1
CHEMBL292707,Ibuproxam,M01AE,Small Molecule,NotAvailable,CC(C)Cc1ccc(C(C)C(=O)NO)cc1,CC(C)Cc1ccc(C(C)C(=O)NO)cc1
CHEMBL1407356,Oxaceprol,D11AX; M01AX,Small Molecule,NotAvailable,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O
CHEMBL1697843,Metildigoxin,C01AA,Small Molecule,NotAvailable,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C
CHEMBL2105039,Histapyrrodine,R06AC,Small Molecule,NotAvailable,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1
CHEMBL278519,Clorindione,B01AA,Small Molecule,NotAvailable,O=C1c2ccccc2C(=O)C1c1ccc(Cl)cc1,O=C1c2ccccc2C(=O)C1c1ccc(Cl)cc1
CHEMBL97972,Pyrrolnitrin,D01AA,Small Molecule,NotAvailable,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl
CHEMBL1788387,Teclozan,P01AC,Small Molecule,NotAvailable,CCOCCN(Cc1ccc(CN(CCOCC)C(=O)C(Cl)Cl)cc1)C(=O)C(Cl)Cl,CCOCCN(Cc1ccc(CN(CCOCC)C(=O)C(Cl)Cl)cc1)C(=O)C(Cl)Cl
CHEMBL1214192,Bemegride,R07AB,Small Molecule,NotAvailable,CCC1(C)CC(=O)NC(=O)C1,CCC1(C)CC(=O)NC(=O)C1
CHEMBL276443,Etilamfetamine,A08AA,Small Molecule,NotAvailable,CCNC(C)Cc1ccccc1,CCNC(C)Cc1ccccc1
CHEMBL436,Tolrestat,A10XA,Small Molecule,NotAvailable,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
CHEMBL1414320,Suxibuzone,M02AA,Small Molecule,NotAvailable,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL2105499,Sulfaperin,J01ED,Small Molecule,NotAvailable,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
CHEMBL2106968,Mesulfen,D10AB; P03AA,Small Molecule,NotAvailable,Cc1ccc2c(c1)Sc1ccc(C)cc1S2,Cc1ccc2c(c1)Sc1ccc(C)cc1S2
CHEMBL2106996,Oxaflozane,N06AX,Small Molecule,NotAvailable,CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1,CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1
CHEMBL2105291,Quingestanol,G03AC,Small Molecule,NotAvailable,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C
CHEMBL2105399,Sulfamoxole,J01EC,Small Molecule,NotAvailable,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C
CHEMBL2105097,Guacetisal,N02BA,Small Molecule,NotAvailable,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,COc1ccccc1OC(=O)c1ccccc1OC(C)=O
CHEMBL2104462,Mepixanox,R07AB,Small Molecule,NotAvailable,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1
CHEMBL2104534,Styramate,M03BA,Small Molecule,NotAvailable,NC(=O)OCC(O)c1ccccc1,NC(=O)OCC(O)c1ccccc1
CHEMBL1908350,Rokitamycin,J01FA,Small Molecule,NotAvailable,CCCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](N(C)C)[C@@H](O)[C@H](O[C@H]3[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@@H](O)[C@@H]3OC)O[C@@H]2C)C[C@@]1(C)OC(=O)CC,CCCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](N(C)C)[C@@H](O)[C@H](O[C@H]3[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@@H](O)[C@@H]3OC)O[C@@H]2C)C[C@@]1(C)OC(=O)CC
CHEMBL1194287,Chloropyramine,D04AA; R06AC,Small Molecule,NotAvailable,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
CHEMBL2104116,Chloralodol,N05CC,Small Molecule,NotAvailable,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
CHEMBL2104153,Cyamemazine,N05AA,Small Molecule,NotAvailable,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
CHEMBL1349073,Efloxate,C01DX,Small Molecule,NotAvailable,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1
CHEMBL316157,Cefaloridine,J01DB,Small Molecule,NotAvailable,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12
CHEMBL1788400; JUAN553,Clefamide; Clefamide,L01AA; P01AC,Small Molecule,NotAvailable,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1
CHEMBL1851805,Propacetamol,N02BE,Small Molecule,NotAvailable,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1
CHEMBL65717,Mepindolol,C07AA,Small Molecule,NotAvailable,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1
CHEMBL1418176,Metandienone,A14AA; D11AE,Small Molecule,NotAvailable,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL2104200,Bunaftine,C01BD,Small Molecule,NotAvailable,CCCCN(CCN(CC)CC)C(=O)c1cccc2ccccc12,CCCCN(CCN(CC)CC)C(=O)c1cccc2ccccc12
CHEMBL2104208,Emylcamate,N05BC,Small Molecule,NotAvailable,CCC(C)(CC)OC(N)=O,CCC(C)(CC)OC(N)=O
